@relation Training1

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute isSafeUp {True,False}
@attribute isSafeDown {True,False}
@attribute isSafeLeft {True,False}
@attribute isSafeRight {True,False}
@attribute direction {0,1,2,3}

@data
270,420,360,200,13,90,-220,237.69728648009425,True,False,False,True,0
270,410,360,200,13,90,-210,228.47319317591726,True,False,False,True,0
270,400,360,200,13,90,-200,219.31712199461307,True,False,True,True,0
270,390,360,200,13,90,-190,210.23796041628637,True,False,True,True,0
270,380,360,200,13,90,-180,201.24611797498108,True,False,True,True,0
270,370,360,200,13,90,-170,192.35384061671346,True,False,True,True,0
270,360,360,200,13,90,-160,183.5755975068582,True,False,True,True,0
270,350,360,200,13,90,-150,174.92855684535903,True,False,True,True,0
270,340,360,200,13,90,-140,166.43316977093238,True,False,True,True,0
270,330,360,200,13,90,-130,158.11388300841898,True,False,True,True,0
270,320,360,200,13,90,-120,150.0,True,False,True,True,0
270,310,360,200,13,90,-110,142.12670403551894,True,False,True,True,0
270,300,360,200,13,90,-100,134.5362404707371,True,False,True,True,0
270,290,360,200,13,90,-90,127.27922061357856,True,False,True,True,0
270,280,360,200,13,90,-80,120.41594578792295,True,False,True,True,0
270,270,360,200,13,90,-70,114.0175425099138,True,False,True,True,0
270,260,360,200,13,90,-60,108.16653826391968,True,False,True,True,0
270,250,360,200,13,90,-50,102.95630140987001,True,False,True,True,0
270,240,360,200,13,90,-40,98.48857801796105,True,False,True,True,0
270,230,360,200,13,90,-30,94.86832980505137,True,False,True,True,0
270,220,360,200,13,90,-20,92.19544457292888,True,False,True,True,0
270,210,360,200,13,90,-10,90.55385138137417,True,False,True,True,0
270,200,360,200,13,90,0,90.0,True,False,True,True,0
280,200,360,200,13,80,0,80.0,True,True,False,True,3
290,200,360,200,13,70,0,70.0,True,True,False,True,3
300,200,360,200,13,60,0,60.0,True,True,False,True,3
310,200,360,200,13,50,0,50.0,True,True,False,True,3
320,200,360,200,13,40,0,40.0,True,True,False,True,3
330,200,360,200,13,30,0,30.0,True,True,False,True,3
340,200,360,200,13,20,0,20.0,True,True,False,True,3
350,200,360,200,13,10,0,10.0,True,True,False,True,3
360,200,360,270,14,0,70,70.0,True,True,False,True,3
360,210,360,270,14,0,60,60.0,False,True,True,True,1
360,220,360,270,14,0,50,50.0,False,True,True,True,1
360,230,360,270,14,0,40,40.0,False,True,True,True,1
360,240,360,270,14,0,30,30.0,False,True,True,True,1
360,250,360,270,14,0,20,20.0,False,True,True,True,1
360,260,360,270,14,0,10,10.0,False,True,True,True,1
360,270,40,200,15,-320,-70,327.566787083184,False,True,True,True,1
350,270,40,200,15,-310,-70,317.80497164141406,True,True,True,False,2
350,260,40,200,15,-310,-60,315.75306807693886,True,False,True,False,0
350,250,40,200,15,-310,-50,314.00636936215164,True,False,True,False,0
350,240,40,200,15,-310,-40,312.5699921617557,True,False,True,False,0
350,230,40,200,15,-310,-30,311.44823004794875,True,False,True,False,0
350,220,40,200,15,-310,-20,310.64449134018133,True,False,True,False,0
